# omega_b	omega_cdm	h	ln10^{10}A_s	n_s	tau_reio	delta_Neff_drmd	f_idm_drmd	log10z_stop	log10_G_over_aH_drmd
0.01647096	0.09956242	0.97487	2.552078	1.122807	0.03509684	0.9625023	0.4218593	4.389788	13.31856
0.01724913	0.08609897	0.9171835	2.532989	1.141392	0.0512087	0.9246452	0.4401277	4.913671	11.1951
0.01701	0.0878605	0.8893295	2.529231	1.136257	0.04638374	1.238271	0.4232096	4.516708	10.39186
0.017484039	0.0909385	0.9123239	2.638694	1.123691	0.08705065	1.217008	0.4176511	4.415843	9.959405
0.0180705	0.09310034	0.8805827	2.633507	1.113075	0.07901707	1.218563	0.2688492	4.29992	10.38252
0.017807739	0.09135237	0.8881562	2.637526	1.101987	0.08776583	1.27121	0.1940743	4.805074	10.73462
0.01745975	0.09083017	0.8883781	2.659499	1.109462	0.09258261	1.148885	0.1533446	4.822684	9.155253
0.020574208	0.08679866	0.9857908	3.152717	0.9461317	0.06207154	0.8184221	0.4021118	4.813736	4.450161
0.014739489	0.1347124	0.6850535	3.291306	1.183617	0.1059673	0.3923569	0.3302739	4.303441	5.632074
0.02091798	0.1431745	0.7716075	3.185315	0.9780429	0.1057731	0.04964338	0.4426027	3.394401	11.20777
0.02395755	0.1164652	0.6957255	2.393063	1.17203	0.02509537	0.5199179	0.3361956	4.076383	6.070168
0.02001332	0.1106094	0.5161155	2.603998	0.8410238	0.101691	0.02289109	0.1790185	3.633959	8.23563
0.0213691	0.1130241	0.5721949	2.807919	0.8250681	0.1634489	0.1207652	0.4469602	3.832651	7.200029
0.01911973	0.1275966	0.6264125	2.710308	0.8329605	0.07954988	0.5943802	0.299413	3.182094	6.841079
0.018267019	0.1313302	0.6298769	2.699621	1.077791	0.1375808	0.1705317	0.3434622	3.802628	8.98841
0.02567621	0.1331968	0.6505999	2.633146	1.127828	0.04530592	0.4051688	0.2565948	2.840933	2.850917
0.020533781	0.1323402	0.9136921	2.846006	1.117836	0.1703606	2.20527	0.2444914	4.117893	2.328525
0.0231592	0.1089409	0.8054671	2.946963	1.125869	0.1990536	0.5296942	0.1708952	2.665228	5.310717
0.01629338	0.1158746	0.5013738	2.779566	0.8136737	0.1495917	0.05990339	0.3760148	4.832474	7.983758
0.02398169	0.1191996	0.7976923	2.979807	0.805251	0.08391787	0.3711252	0.4377522	4.963219	3.376153
0.020097999	0.103674	0.9442719	3.111949	0.8554645	0.0197974	0.2804155	0.3074249	4.930995	9.082644
