2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	21	23	25	27	30	33	36	40	44	49	54	60	67	75	83	92	103	115	128	143	160	179	200	223	249	278	311	348	387	426	465	504	543	582	621	660	699	738	777	816	855	894	933	972	1011	1050	1089	1128	1167	1206	1245	1284	1323	1362	1401	1440	1479	1518	1557	1596	1635	1674	1713	1752	1791	1830	1869	1908	1947	1986	2025	2064	2103	2142	2181	2220	2259	2298	2337	2376	2415	2454	2493
2.352915634952069e-15	2.5220188380562788e-15	1.880284144578574e-15	1.1092313570978873e-15	5.996235204996229e-16	3.7299686217831694e-16	2.9924738186744307e-16	2.7760739236931663e-16	2.7456453972359136e-16	2.8863331986452873e-16	3.2011179425457196e-16	3.6593437598932753e-16	4.246272497767427e-16	4.976180923959417e-16	5.865494056059743e-16	6.918931988046313e-16	9.51741615137647e-16	1.2799833284439473e-15	1.6821611608933082e-15	2.167003819869557e-15	2.7450424872761647e-15	3.806270743572317e-15	5.125062998687567e-15	6.728656277192329e-15	9.349920230649401e-15	1.2567499435391113e-14	1.7482596866923108e-14	2.3431379854045427e-14	3.194030521007632e-14	4.363318312879677e-14	5.903247636683673e-14	7.60151067584544e-14	9.600564801896726e-14	1.197693157532522e-13	1.4190205927483939e-13	1.5786443803775104e-13	1.6254880728758508e-13	1.497276528244892e-13	1.2134599475816183e-13	9.902098047982561e-14	1.3531616127024396e-13	3.247083917622446e-13	7.814995518898247e-13	1.5745532718154801e-12	2.5264477475473686e-12	3.098092355930906e-12	2.8710460753533173e-12	2.0040753068296884e-12	1.15566699843957e-12	1.072555170616838e-12	2.0514578687032142e-12	3.67945090626885e-12	5.060466306144606e-12	5.394820784750181e-12	4.5192028737898336e-12	3.034887159578563e-12	1.9335517427473137e-12	1.9668728309145467e-12	3.1734745158203886e-12	4.863065232880583e-12	6.054520804506564e-12	6.077781524616412e-12	4.958591528313094e-12	3.363579945240981e-12	2.16997674772837e-12	1.944690845007977e-12	2.6485329625992406e-12	3.719332613312557e-12	4.447666664513427e-12	4.396954026260968e-12	3.6201947998773245e-12	2.573111213281528e-12	1.8090947833950415e-12	1.6569282048497434e-12	2.0654310738413266e-12	2.680761564010508e-12	3.0817745742732143e-12	3.0190314165800465e-12	2.5262967003992636e-12	1.8609412795815485e-12	1.3324358820409432e-12	1.13049818225569e-12	1.2434643876546516e-12	1.4986466075878028e-12	1.681806064166286e-12	1.6582050772926173e-12	1.4300088239998682e-12	1.1105326498731861e-12	8.438633232328581e-13	7.226394789796967e-13	7.483449362865483e-13	8.472628093461618e-13	9.2293962468752e-13	9.103392835958601e-13	8.033623113767037e-13	6.467350151311434e-13	5.033228670820929e-13	4.182619860514831e-13	3.991694473430792e-13	4.2000428826369564e-13
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	21	23	25	27	30	33	36	40	44	49	54	60	67	75	83	92	103	115	128	143	160	179	200	223	249	278	311	348	387	426	465	504	543	582	621	660	699	738	777	816	855	894	933	972	1011	1050	1089	1128	1167	1206	1245	1284	1323	1362	1401	1440	1479	1518	1557	1596	1635	1674	1713	1752	1791	1830	1869	1908	1947	1986	2025	2064	2103	2142	2181	2220	2259	2298	2337	2376	2415	2454	2493
4.040540010695121e-15	5.1985069115901755e-15	4.641551315792946e-15	3.2388958601266195e-15	1.902959717362102e-15	1.0610931340246966e-15	6.819696172534541e-16	5.544549290193811e-16	5.08145690691217e-16	4.785139359791497e-16	4.673346011791763e-16	4.86227376923615e-16	5.325650919925914e-16	5.963093376261057e-16	6.723779657636693e-16	7.641534482248999e-16	1.0146707805034694e-15	1.3575774540381008e-15	1.7872363687127448e-15	2.3074613786234136e-15	2.92078490196002e-15	4.042492212591106e-15	5.440239059619548e-15	7.14019135850514e-15	9.917358345957073e-15	1.3319918502439984e-14	1.850639626459506e-14	2.4765745035049624e-14	3.368194434041041e-14	4.594302207415877e-14	6.199973453296934e-14	7.965785246585934e-14	1.0034017585220851e-13	1.2476282620890713e-13	1.4726165501274224e-13	1.631150664498639e-13	1.670449131458321e-13	1.5288672255721783e-13	1.2333676708423577e-13	1.0190655050646324e-13	1.4434402456956235e-13	3.497108907493836e-13	8.358012817348765e-13	1.6705008816357126e-12	2.6627273514816073e-12	3.2487891112817466e-12	2.999304823002364e-12	2.086556451541286e-12	1.1956950464573575e-12	1.096696408547091e-12	2.0927133200738137e-12	3.758667669322691e-12	5.176617755547285e-12	5.527812364347797e-12	4.64026909051315e-12	3.1187643347652557e-12	1.9664170277482966e-12	1.950187470375401e-12	3.1229940734719467e-12	4.803857831955426e-12	6.012381475323997e-12	6.068240084903713e-12	4.978833935450453e-12	3.3921177337772436e-12	2.176307778524362e-12	1.9048320347519707e-12	2.558941260922855e-12	3.600329146184675e-12	4.333376276311383e-12	4.316586225820933e-12	3.581875221007874e-12	2.5591655681667762e-12	1.7861580838283365e-12	1.595078822872169e-12	1.9551194723400476e-12	2.537898712633191e-12	2.938322642862472e-12	2.9052058506951338e-12	2.4548938807996986e-12	1.8221116248192117e-12	1.3009476879896066e-12	1.0811312051555542e-12	1.1644067319470101e-12	1.3964226451358465e-12	1.575713484593087e-12	1.5684644022397844e-12	1.3668322529086217e-12	1.0698828029623604e-12	8.114137781909853e-13	6.827072709983047e-13	6.923890663758139e-13	7.774574329016198e-13	8.495779461872885e-13	8.453951370506757e-13	7.540832473488839e-13	6.126941683100549e-13	4.778371100561563e-13	3.9279499624541205e-13	3.679820637432973e-13	3.825407796395858e-13
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	21	23	25	27	30	33	36	40	44	49	54	60	67	75	83	92	103	115	128	143	160	179	200	223	249	278	311	348	387	426	465	504	543	582	621	660	699	738	777	816	855	894	933	972	1011	1050	1089	1128	1167	1206	1245	1284	1323	1362	1401	1440	1479	1518	1557	1596	1635	1674	1713	1752	1791	1830	1869	1908	1947	1986	2025	2064	2103	2142	2181	2220	2259	2298	2337	2376	2415	2454	2493
5.69486463962816e-15	8.941625026921485e-15	9.852667457072535e-15	8.61990230701652e-15	6.3038462358911264e-15	4.001368238891617e-15	2.3452105370387353e-15	1.4461370656685279e-15	1.0903687892728791e-15	9.896997478075153e-16	9.457676871264249e-16	8.903542302529904e-16	8.403523494453996e-16	8.312849562791122e-16	8.76194511016537e-16	9.609430785580601e-16	1.167870249711137e-15	1.4099819499237125e-15	1.7713120547507202e-15	2.2704771801560677e-15	2.8796476703050267e-15	4.001877890450983e-15	5.368895070596451e-15	7.009846060542398e-15	9.718460406434382e-15	1.304651612677995e-14	1.811290725714316e-14	2.4216904763328824e-14	3.288789521640281e-14	4.4760936562274165e-14	6.031611093076616e-14	7.735245251063712e-14	9.717565564884999e-14	1.203909042510122e-13	1.4143638913530728e-13	1.557115511922108e-13	1.5814354167328522e-13	1.4332552843439635e-13	1.1536545521615522e-13	9.99290393433237e-14	1.553570127513645e-13	3.8373131854540707e-13	9.028579423627979e-13	1.7751146594245023e-12	2.7925210696653237e-12	3.3710874237027417e-12	3.0821373050630846e-12	2.120182217031668e-12	1.1980202753535167e-12	1.099054780293497e-12	2.1161956486858367e-12	3.799255429837867e-12	5.209933179418401e-12	5.52888959569995e-12	4.602881228056859e-12	3.0587713990412855e-12	1.908610447794117e-12	1.9076868166065916e-12	3.0862728675492154e-12	4.747330436382766e-12	5.913549939843531e-12	5.925480922515571e-12	4.814418561460523e-12	3.2388633258820263e-12	2.0565676308774533e-12	1.8169340695532828e-12	2.4793148628757826e-12	3.499422760268079e-12	4.194493017638542e-12	4.145753610896691e-12	3.4026639691336256e-12	2.397151711291663e-12	1.6534596397816052e-12	1.4841307683893504e-12	1.845053906362308e-12	2.408455921603978e-12	2.7817633645755492e-12	2.7307360062461727e-12	2.2821935202778513e-12	1.669684596256073e-12	1.1765905789766745e-12	9.789219773568673e-13	1.0700595896013313e-12	1.296104697072626e-12	1.4634406094165518e-12	1.4480993056990768e-12	1.2483453271406662e-12	9.62929909611094e-13	7.200148152426138e-13	6.039553983278331e-13	6.190810589398376e-13	7.026271285280005e-13	7.70140957977879e-13	7.631778213818586e-13	6.741470457866557e-13	5.401429052103413e-13	4.151469350913389e-13	3.389678619634386e-13	3.1967292607614654e-13	3.3617813659605055e-13
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	21	23	25	27	30	33	36	40	44	49	54	60	67	75	83	92	103	115	128	143	160	179	200	223	249	278	311	348	387	426	465	504	543	582	621	660	699	738	777	816	855	894	933	972	1011	1050	1089	1128	1167	1206	1245	1284	1323	1362	1401	1440	1479	1518	1557	1596	1635	1674	1713	1752	1791	1830	1869	1908	1947	1986	2025	2064	2103	2142	2181	2220	2259	2298	2337	2376	2415	2454	2493
4.5925919448028514e-15	5.721524192280532e-15	4.800260903797607e-15	3.105843425215553e-15	1.7002285641145996e-15	9.274184403885275e-16	6.213498271704899e-16	5.085386972517131e-16	4.340099140286082e-16	3.701660882000725e-16	3.3459712145924903e-16	3.3246441417319826e-16	3.5234371954963674e-16	3.8456261784222423e-16	4.3005872717343216e-16	4.950218725150941e-16	6.924908018678684e-16	9.70003048759377e-16	1.3257456066385009e-15	1.7601771535787271e-15	2.281126588624054e-15	3.2583562673766504e-15	4.497535042955637e-15	6.025566693197837e-15	8.551629119903482e-15	1.1678476899679849e-14	1.64977076145357e-14	2.2361423264295986e-14	3.0789856572183245e-14	4.245757331541895e-14	5.784421579758922e-14	7.485940709304777e-14	9.490322249848663e-14	1.187125091039678e-13	1.4081382174840746e-13	1.5660571680081033e-13	1.6094950865511546e-13	1.4779616551380337e-13	1.1976682884613854e-13	9.997331124947315e-14	1.4335266569204314e-13	3.476801978144755e-13	8.289405794345666e-13	1.6530165576025843e-12	2.6286743155964525e-12	3.1980835544080403e-12	2.9422921597580162e-12	2.0404377724288594e-12	1.1766412256058543e-12	1.1086447270748241e-12	2.1228284062912696e-12	3.781790180697152e-12	5.169724061491895e-12	5.485344872635998e-12	4.57999254463242e-12	3.0723636836812037e-12	1.9597977193930456e-12	1.9853583180676963e-12	3.174311282131388e-12	4.832313005532868e-12	5.989811444954224e-12	5.996648611449946e-12	4.890297002942607e-12	3.330828982996812e-12	2.1720123344134594e-12	1.9552931083870367e-12	2.6318816946708583e-12	3.653295942480747e-12	4.3390746228884e-12	4.277891344885427e-12	3.528352681068701e-12	2.5278822753468395e-12	1.7994095065888519e-12	1.6481717277331708e-12	2.0211382983090815e-12	2.5849444084101798e-12	2.947581174909125e-12	2.88120694724833e-12	2.4203186727185983e-12	1.803519143228546e-12	1.313783963227229e-12	1.1224549975577264e-12	1.216703348876063e-12	1.4389719825480013e-12	1.5962804110953802e-12	1.5687101680605142e-12	1.3593087104964688e-12	1.0695716196245902e-12	8.270963055099316e-13	7.130171438846888e-13	7.280270482534672e-13	8.073921558505393e-13	8.672437313865944e-13	8.515107196324571e-13	7.551671163073847e-13	6.166692439882917e-13	4.896560004049347e-13	4.123506883414335e-13	3.910277312804345e-13	4.0363552395575645e-13
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	21	23	25	27	30	33	36	40	44	49	54	60	67	75	83	92	103	115	128	143	160	179	200	223	249	278	311	348	387	426	465	504	543	582	621	660	699	738	777	816	855	894	933	972	1011	1050	1089	1128	1167	1206	1245	1284	1323	1362	1401	1440	1479	1518	1557	1596	1635	1674	1713	1752	1791	1830	1869	1908	1947	1986	2025	2064	2103	2142	2181	2220	2259	2298	2337	2376	2415	2454	2493
6.2051546547378176e-15	1.085969762634536e-14	1.3392066378703148e-14	1.3234938581349798e-14	1.1035836429026828e-14	7.978383855434788e-15	5.120724529507936e-15	3.0586522575733736e-15	1.8958913407617244e-15	1.411557092785154e-15	1.2822042856276404e-15	1.249868136425503e-15	1.1907085960926315e-15	1.097043456798429e-15	1.0166280528036206e-15	9.943269175733496e-16	1.1404830418326444e-15	1.3714002190985218e-15	1.5862037261365795e-15	1.8931770891152797e-15	2.375864524100845e-15	3.364540287400138e-15	4.62069699999855e-15	6.1378654855531545e-15	8.556259110337344e-15	1.1590222351837562e-14	1.629035311531581e-14	2.1992035369119424e-14	3.016689846588447e-14	4.144569955060745e-14	5.6377632946764705e-14	7.295213565756309e-14	9.256905718703972e-14	1.1599355372106673e-13	1.380247569891966e-13	1.5424679521505338e-13	1.5966020759358735e-13	1.4797078934663116e-13	1.2054363163570922e-13	9.751649913740496e-14	1.2882534003603958e-13	3.048024992765033e-13	7.357596271271732e-13	1.4894687928237308e-12	2.398873596101659e-12	2.9497453841152607e-12	2.7407335931531706e-12	1.92283097984503e-12	1.1265771173258856e-12	1.0675003046722816e-12	2.0299902839612334e-12	3.6156369743391433e-12	4.9601894227146415e-12	5.291338718886741e-12	4.449918295383924e-12	3.015234731348017e-12	1.9453557519610696e-12	1.9691200750744043e-12	3.128502619504913e-12	4.761073990468495e-12	5.921281597448287e-12	5.95967971371189e-12	4.895517265145099e-12	3.3655247205745578e-12	2.2118671992887987e-12	1.9816366331914627e-12	2.642553183608918e-12	3.660941436381897e-12	4.360149518745835e-12	4.321110711320083e-12	3.589801826232508e-12	2.5954337004012037e-12	1.8617408198768235e-12	1.7018739304816705e-12	2.0714813724129324e-12	2.6407276910151873e-12	3.015008757059204e-12	2.959071321907439e-12	2.5013989724990994e-12	1.8792718364728487e-12	1.3790120916068756e-12	1.1775835643055717e-12	1.2666759250202089e-12	1.489666255099104e-12	1.651002749128935e-12	1.6268348372161937e-12	1.417406426158163e-12	1.123872684052766e-12	8.757106763253188e-13	7.566408370534152e-13	7.69039320030471e-13	8.481883825567579e-13	9.089021796371428e-13	8.934026490806871e-13	7.955479013221344e-13	6.537617908195525e-13	5.225817729901478e-13	4.4139749017142935e-13	4.172555200902733e-13	4.281868790627056e-13
