2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	21	23	25	27	30	33	36	40	44	49	54	60	67	75	83	92	103	115	128	143	160	179	200	223	249	278	311	348	387	426	465	504	543	582	621	660	699	738	777	816	855	894	933	972	1011	1050	1089	1128	1167	1206	1245	1284	1323	1362	1401	1440	1479	1518	1557	1596	1635	1674	1713	1752	1791	1830	1869	1908	1947	1986	2025	2064	2103	2142	2181	2220	2259	2298	2337	2376	2415	2454	2493
6.927572821420479e-09	4.247720784345172e-09	2.940140064480371e-09	2.182454940145783e-09	1.6945640736535874e-09	1.358352693165736e-09	1.1150835154389662e-09	9.326049695535072e-10	7.919130727066976e-10	6.726307408064717e-10	5.845511811831372e-10	5.12418310890803e-10	4.525615245064578e-10	4.0232531405038674e-10	3.5974096414858677e-10	3.2332235093860613e-10	2.6468739512941584e-10	2.199891295468167e-10	1.851609323282467e-10	1.5752600479252031e-10	1.3525786062436134e-10	1.0921395102185392e-10	8.95191130314747e-11	7.431166337676862e-11	5.89476714148546e-11	4.75181463719768e-11	3.698706426224322e-11	2.930254363773585e-11	2.259431350562524e-11	1.7062844044020533e-11	1.2688053824444238e-11	9.644598566299913e-12	7.242337131791124e-12	5.241498169365683e-12	3.789260912757993e-12	2.7422696882695914e-12	1.947189244758138e-12	1.3662622843425835e-12	9.530571056090371e-13	6.64237337555058e-13	4.643029821218182e-13	3.2201050224636243e-13	2.2274212945080415e-13	1.5249991480716615e-13	1.0381852725087965e-13	7.175487372159682e-14	5.1065015841135826e-14	3.7225211412150616e-14	2.7702139146667955e-14	2.0997460383312987e-14	1.6184306735480702e-14	1.2668389949217784e-14	1.0057918207436729e-14	8.089091510436533e-15	6.58144573184239e-15	5.409989213055218e-15	4.4872238816310075e-15	3.7512473292995255e-15	3.1577527298755347e-15	2.6745926270339976e-15	2.2780756279566906e-15	1.9504414680822065e-15	1.6781390830276583e-15	1.450651887061689e-15	1.2596938958183283e-15	1.0986549581006542e-15	9.62213512319213e-16	8.460604441298615e-16	7.466964477629078e-16	6.612774890501809e-16	5.874925420533712e-16	5.234639056797963e-16	4.676645032176812e-16	4.1884900926766366e-16	3.7599697388743436e-16	3.3826645601675554e-16	3.0495690937002894e-16	2.7548000086353003e-16	2.493370630207245e-16	2.261019003099143e-16	2.0540781206996107e-16	1.86937721558576e-16	1.7041673467010632e-16	1.5560635709182546e-16	1.4229980145671548e-16	1.3031798808194415e-16	1.195060122654093e-16	1.097299407309337e-16	1.0087390369326592e-16	9.283746436188875e-17	8.553328368070045e-17	7.888508519823886e-17	7.282591895173307e-17	6.729671317661314e-17	6.224508566043765e-17	5.762438766209456e-17	5.339293722388499e-17	4.9513412874476454e-17	4.5952360082553024e-17	4.267978906507182e-17
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	21	23	25	27	30	33	36	40	44	49	54	60	67	75	83	92	103	115	128	143	160	179	200	223	249	278	311	348	387	426	465	504	543	582	621	660	699	738	777	816	855	894	933	972	1011	1050	1089	1128	1167	1206	1245	1284	1323	1362	1401	1440	1479	1518	1557	1596	1635	1674	1713	1752	1791	1830	1869	1908	1947	1986	2025	2064	2103	2142	2181	2220	2259	2298	2337	2376	2415	2454	2493
7.255925811025875e-09	4.468229430312447e-09	3.08856406983013e-09	2.2903163128561536e-09	1.7770405427628778e-09	1.4242818284363007e-09	1.1701737767090795e-09	9.801406411873303e-10	8.335487446146979e-10	7.055866569360156e-10	6.138161575359022e-10	5.386827680108743e-10	4.76354845949844e-10	4.24045240168683e-10	3.7969570338824327e-10	3.417606995111023e-10	2.806586179373347e-10	2.3403809525164353e-10	1.976688699176918e-10	1.6876671878927117e-10	1.454352546525271e-10	1.1808674851954817e-10	9.733649592557482e-11	8.125714092422056e-11	6.494249614458564e-11	5.27399175111953e-11	4.142750923458837e-11	3.311352954169655e-11	2.5798406021546845e-11	1.970981430423385e-11	1.4842638583786464e-11	1.1418396025769328e-11	8.684358822852535e-12	6.377517373496688e-12	4.67906752471868e-12	3.4364345853459554e-12	2.4781328934915524e-12	1.7663579448553057e-12	1.2514014506127291e-12	8.852297480210393e-13	6.274301670039379e-13	4.409058397597635e-13	3.086927050799992e-13	2.137263876709748e-13	1.469949301875939e-13	1.0250874960773285e-13	7.351333237672039e-14	5.395518032647047e-14	4.0399355737388185e-14	3.079236417410971e-14	2.3852941590383212e-14	1.8753839834416e-14	1.4946542847267242e-14	1.2059893118983636e-14	9.83879169405839e-15	8.105705000325851e-15	6.735694594825989e-15	5.639858417697405e-15	4.754158298187014e-15	4.0318213940351354e-15	3.438156296315645e-15	2.9470034170738034e-15	2.5383086436200305e-15	2.196456483018947e-15	1.9091199976108517e-15	1.666460943722144e-15	1.46056280749128e-15	1.2850220489100985e-15	1.1346435740610551e-15	1.0052068074538566e-15	8.932806341181232e-16	7.960727469362803e-16	7.113061592069817e-16	6.371173981741606e-16	5.719732099428295e-16	5.146034332784662e-16	4.639473580006603e-16	4.191117767321953e-16	3.7933843464805375e-16	3.4397903712859565e-16	3.1247620805558817e-16	2.843487240631075e-16	2.591801616274197e-16	2.3660986758849076e-16	2.1632551275620242e-16	1.9805676060084288e-16	1.8156966435001256e-16	1.6666170604968383e-16	1.5315734086088558e-16	1.409040421753964e-16	1.297688497668495e-16	1.1963537523603924e-16	1.1040128403478967e-16	1.0197618524467046e-16	9.427989850576486e-17	8.724105009973344e-17	8.079592632845592e-17	7.488755187601147e-17	6.946492431137361e-17	6.448237241677465e-17
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	21	23	25	27	30	33	36	40	44	49	54	60	67	75	83	92	103	115	128	143	160	179	200	223	249	278	311	348	387	426	465	504	543	582	621	660	699	738	777	816	855	894	933	972	1011	1050	1089	1128	1167	1206	1245	1284	1323	1362	1401	1440	1479	1518	1557	1596	1635	1674	1713	1752	1791	1830	1869	1908	1947	1986	2025	2064	2103	2142	2181	2220	2259	2298	2337	2376	2415	2454	2493
1.1918829948341743e-08	7.2069416651330584e-09	4.956135078871671e-09	3.6610707245050973e-09	2.832688229023143e-09	2.2661244659997458e-09	1.8586565002317274e-09	1.5539472274197075e-09	1.3191451341370028e-09	1.1020836816027473e-09	9.5748272301653e-10	8.39360932879265e-10	7.415534747694637e-10	6.595945381878858e-10	5.902069703640173e-10	5.309280102411255e-10	4.3558796578787576e-10	3.6295961293016467e-10	3.063694646713921e-10	2.6144025663346734e-10	2.2519718052701022e-10	1.8273644403550597e-10	1.5053911760903233e-10	1.2559947106588687e-10	1.003017936022174e-10	8.138727202001716e-11	6.38575251665875e-11	5.097987413326593e-11	3.9655741591573465e-11	3.023757390120128e-11	2.2717186530564696e-11	1.7433285657011028e-11	1.3220942279023517e-11	9.67392935954873e-12	7.0685848746953255e-12	5.16764925421291e-12	3.7062579868579645e-12	2.6247954989756613e-12	1.8457854590847693e-12	1.294695911687478e-12	9.090822188157224e-13	6.321406830285951e-13	4.375991216806901e-13	2.9935584648999824e-13	2.0341213549789231e-13	1.402901902611002e-13	9.966299193323457e-14	7.256220196813595e-14	5.395605859393576e-14	4.087389277303865e-14	3.148607505425687e-14	2.4626048916504185e-14	1.9528993981250178e-14	1.568221995175806e-14	1.2735834781084468e-14	1.0447490705220902e-14	8.6471185837286e-15	7.213888181462863e-15	6.060846965196418e-15	5.124575540324005e-15	4.358147201314258e-15	3.72631053010521e-15	3.2021829592514015e-15	2.764964619203487e-15	2.398349643449559e-15	2.0894122810587702e-15	1.82781506823994e-15	1.60523658575152e-15	1.414948881397287e-15	1.2514971436563981e-15	1.1104504877752693e-15	9.88203397486611e-16	8.81815267944254e-16	7.888797357640709e-16	7.074184159111746e-16	6.357949867617209e-16	5.726464708059924e-16	5.168288625110076e-16	4.673745684278355e-16	4.2345942998420694e-16	3.8437727635233705e-16	3.4952025312673053e-16	3.1836344151133047e-16	2.904527967684206e-16	2.6539536731136874e-16	2.4285109884595205e-16	2.225257486172751e-16	2.0416464514686396e-16	1.8754713875368054e-16	1.7248168212556331e-16	1.5880150690811597e-16	1.4636087851215438e-16	1.3503190137857856e-16	1.2470183678899025e-16	1.1527087973115456e-16	1.0665034163310206e-16	9.876116976885622e-17	9.153274525769516e-17	8.490189813473872e-17	7.88120856815426e-17
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	21	23	25	27	30	33	36	40	44	49	54	60	67	75	83	92	103	115	128	143	160	179	200	223	249	278	311	348	387	426	465	504	543	582	621	660	699	738	777	816	855	894	933	972	1011	1050	1089	1128	1167	1206	1245	1284	1323	1362	1401	1440	1479	1518	1557	1596	1635	1674	1713	1752	1791	1830	1869	1908	1947	1986	2025	2064	2103	2142	2181	2220	2259	2298	2337	2376	2415	2454	2493
7.927867964953983e-09	4.914551371521674e-09	3.4191186667795077e-09	2.5494274289990977e-09	1.988256823270944e-09	1.6003854335947053e-09	1.3192387146633628e-09	1.1084524051485394e-09	9.459440175329184e-10	8.003074978711293e-10	6.982854903564702e-10	6.14587709481274e-10	5.450143401485542e-10	4.865033231805846e-10	4.3679708571678997e-10	3.9419572196220016e-10	3.253783981459087e-10	2.726639014908729e-10	2.3138052748383646e-10	1.9844822868279586e-10	1.7176396775222086e-10	1.4033911361078122e-10	1.1636783221586225e-10	9.76948362487759e-11	7.863555001221398e-11	6.428740291010095e-11	5.089246425659366e-11	4.0974761360436446e-11	3.218184067132554e-11	2.4800578650962842e-11	1.884607168331286e-11	1.461855849637782e-11	1.1213113768149656e-11	8.312311213945354e-12	6.154925555460571e-12	4.560813396787813e-12	3.3191513755065274e-12	2.3874513311019145e-12	1.7064723185374063e-12	1.2173814992848974e-12	8.697094948800917e-13	6.158135018564831e-13	4.342281296538007e-13	3.0268046239550533e-13	2.0949600438637923e-13	1.4692077246098018e-13	1.0587898645761406e-13	7.804747432196986e-14	5.866738994015068e-14	4.4875277665700083e-14	3.487451805192972e-14	2.7499607825502656e-14	2.197458107493273e-14	1.7772462962534128e-14	1.4529860711596813e-14	1.19930783498918e-14	9.983031822147483e-15	8.371892517026274e-15	7.067293057085431e-15	6.00156366805414e-15	5.12436047762018e-15	4.3976180301453076e-15	3.7920822269744915e-15	3.2849284970534004e-15	2.858110284327263e-15	2.4972057831077134e-15	2.190599846074644e-15	1.928888880051496e-15	1.7044381089562533e-15	1.511039310686081e-15	1.3436399537949468e-15	1.198123162571988e-15	1.0711267964518077e-15	9.598949682081362e-16	8.621564104244426e-16	7.760264858192303e-16	6.999290957912467e-16	6.325352893217555e-16	5.727158289082086e-16	5.195044880131282e-16	4.720701139122659e-16	4.2969484063663314e-16	3.9175727276106516e-16	3.5771904637385885e-16	3.2711375091609586e-16	2.995374591245149e-16	2.746404037451516e-16	2.521195677712424e-16	2.317120790817976e-16	2.1318932466154994e-16	1.9635184673818636e-16	1.8102489321780595e-16	1.6705470311666602e-16	1.5430536625054154e-16	1.4265626831251474e-16	1.319999940827537e-16	1.2224062726808574e-16	1.1329237193807224e-16	1.0507840298302375e-16	9.75299107410237e-17
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	21	23	25	27	30	33	36	40	44	49	54	60	67	75	83	92	103	115	128	143	160	179	200	223	249	278	311	348	387	426	465	504	543	582	621	660	699	738	777	816	855	894	933	972	1011	1050	1089	1128	1167	1206	1245	1284	1323	1362	1401	1440	1479	1518	1557	1596	1635	1674	1713	1752	1791	1830	1869	1908	1947	1986	2025	2064	2103	2142	2181	2220	2259	2298	2337	2376	2415	2454	2493
8.295395950324803e-09	5.093009955496321e-09	3.522352951530537e-09	2.613982784145472e-09	2.030646047863224e-09	1.6301964061088803e-09	1.341141570428644e-09	1.1243629940651246e-09	9.570113448112193e-10	8.081560478957038e-10	7.03511206160357e-10	6.177863861938346e-10	5.466282127474346e-10	4.868666330357008e-10	4.3616945840712484e-10	3.9277956514464637e-10	3.2283173858640324e-10	2.6940161547916673e-10	2.27676164435099e-10	1.944863994012391e-10	1.6767135978723478e-10	1.362048343402501e-10	1.1230728020796283e-10	9.377327002403204e-11	7.495134013252678e-11	6.08640080849571e-11	4.7796438694601194e-11	3.8188937355644094e-11	2.973431158591875e-11	2.2697211786126087e-11	1.7073437261686412e-11	1.3118893490595498e-11	9.963688589129059e-12	7.304134789986861e-12	5.348509446100503e-12	3.9199000215835905e-12	2.820151505607731e-12	2.0050400249624757e-12	1.4167367581723841e-12	9.99510936930644e-13	7.065887202311519e-13	4.952728895844819e-13	3.459421135187339e-13	2.3900426071104197e-13	1.6407821985943194e-13	1.1425628584712058e-13	8.184858922290085e-14	6.002185165650096e-14	4.4910817734440357e-14	3.4211104473527923e-14	2.64880885624127e-14	2.081704956521375e-14	1.6585530053878094e-14	1.3379363345885401e-14	1.09139745582662e-14	8.991353434624808e-15	7.47218640075902e-15	6.2573962983099824e-15	5.275677681042907e-15	4.475013189414296e-15	3.816880577064362e-15	3.272275838731294e-15	2.818994141398872e-15	2.4397625921643093e-15	2.1209521352883128e-15	1.851682886933132e-15	1.6231945064311957e-15	1.4283931079699382e-15	1.2615165873616088e-15	1.1178786682025932e-15	9.936666046177938e-16	8.857767345695963e-16	7.916788144188814e-16	7.093036628822844e-16	6.369507366594754e-16	5.732130153101164e-16	5.169169188065005e-16	4.670750227043585e-16	4.2284938706854206e-16	3.8352347411510803e-16	3.4848075991796503e-16	3.17188366781081e-16	2.8918451697144547e-16	2.640687334840307e-16	2.4149381268313954e-16	2.2115900767882967e-16	2.0280399767636345e-16	1.8620349002600055e-16	1.7116231782557836e-16	1.5751106475295763e-16	1.4510218022629506e-16	1.3380662404750547e-16	1.2351099774427793e-16	1.1411516314189807e-16	1.055302747983062e-16	9.767719804314326e-17	9.048522968075764e-17	8.389107486982436e-17	7.783801441791637e-17	7.227521042316058e-17
