# z_reio	Omega_Lambda	YHe	A_s	sigma8	100*theta_s	H0	rs_d	Omega_m	f_drmd	z_dec_drmd
9.736465454101562	0.6804211840142991	0.24604968471333316	2.192599677134525e-09	0.8036151387607222	1.0439765768096723	73.81643	133.3244992009593	0.3194997216954614	0.14131670133984434	3083.872584485238
9.575027465820312	0.689998197794596	0.24603355108561564	2.171636231182816e-09	0.8031108935651445	1.044197729264922	74.67743999999999	133.45211386764706	0.3099241032537473	0.14540558363804065	2898.2559503181665
8.567794799804688	0.707942082674612	0.2460491639842105	2.1103079970599405e-09	0.8018024248792853	1.0439179316491565	76.32369	133.68813584632557	0.2919828314084138	0.15249151122681429	3843.055238077494
8.508834838867188	0.7037067793096192	0.24594710873032474	2.1250937244046704e-09	0.8114410087679977	1.0455300457317995	75.30063	135.01830245332778	0.29621775921781024	0.13582963555228536	2728.2033827301393
8.265975952148438	0.698679207128506	0.24600107237370594	2.113296196528317e-09	0.7853799802578293	1.0431591149822523	75.47897999999999	133.44269938587956	0.3012438893131493	0.15373786467153905	4138.905471368907
7.0257110595703125	0.6917667838199053	0.24610619840651526	2.0760559317274445e-09	0.7728069168342055	1.0455304304288007	75.03622	133.23492404159052	0.30815644813863735	0.1435373457807113	3880.4118259619045
8.442153930664062	0.6940519341243083	0.24606711885390126	2.093469854924276e-09	0.7855278985241095	1.0435048730229968	75.18621	133.1359130929185	0.3058708252902503	0.1511847102899242	3576.987681095492
8.549545288085938	0.7157146848001639	0.24609776216656357	2.0843017498549283e-09	0.7861859248432543	1.0432404386745318	76.88036	134.03828276899227	0.2842113780557087	0.15182779801870402	3146.657351264324
8.303878784179688	0.7043902282320219	0.24570306854709212	2.1185118973630575e-09	0.8145809688432674	1.0428808028073369	73.30167	138.6403342861388	0.29553320562579194	0.10537568359951639	3265.539033790657
10.275177001953125	0.6865418869308537	0.24566197570860535	2.1863246828219177e-09	0.840630769103062	1.0427970290904227	71.8899	138.08588053661305	0.31337871755189983	0.10332088585060488	2131.716963584742
10.742645263671875	0.7414087276916385	0.24598851220818532	2.2046988133980533e-09	0.7989453998072109	1.045169609879816	79.70033	134.62216030713554	0.25852147250035695	0.16263512174257033	1632.3540247447845
9.892990112304688	0.7336606461863104	0.24592165497815668	2.193174213510913e-09	0.8274034765605152	1.043174996681005	76.89361	137.6895945323929	0.26626785185515245	0.1265999311360461	2142.0547966192476
8.411972045898438	0.700832823889995	0.24593004327158582	2.0978434888109915e-09	0.8213064992681186	1.0440633997180548	74.82075999999999	135.17943157184598	0.299090790245844	0.1353630158414771	3005.3320784357807
8.134719848632812	0.7207716399793664	0.24589238714906742	2.0504738381572294e-09	0.7975179597529164	1.0420511711850302	76.88097	135.0057668452748	0.2791542036704735	0.15406172942133214	3278.7285164972714
8.082077026367188	0.6984029612924447	0.24596415110050193	2.0585645242370282e-09	0.7985562875971229	1.0430198595343536	75.21748000000001	133.86978718091098	0.30151994740449833	0.15035500909718483	3154.276885309031
8.414077758789062	0.7151981111946983	0.24597903604945923	2.0283626819764523e-09	0.8071452611783131	1.043119384926697	76.96973	133.86410109267626	0.2847273836428568	0.15929593358660635	3565.471894891469
9.960723876953125	0.7157834669008205	0.24590670973659537	2.1900270755261924e-09	0.8493519603229331	1.043551541734425	75.13239	137.364769642185	0.2841423534061237	0.11919094693944021	1765.1646000582139
9.146865844726562	0.7100400664117845	0.2456693179239325	2.120135299159947e-09	0.8161076739029641	1.0424014020659942	72.55114	141.11908303120975	0.28988423730044377	0.07987608066388294	2217.623721202663
7.0369415283203125	0.6881493163457058	0.24552262103478315	2.0346847787230834e-09	0.794991647352057	1.0425416538007721	70.29991	141.55494504004068	0.311771417392729	0.06611471956625152	2754.725823149704
8.073654174804688	0.7016385734258227	0.24620455117835435	2.1009526968181488e-09	0.7726123593012523	1.0441252300112578	75.7419	133.48558849458854	0.29828597563967013	0.14460933306304635	3545.4083817003734
9.478164672851562	0.6806736149644155	0.24602745025345932	2.172326921318242e-09	0.7931887959055912	1.0440483699039598	73.94555	133.16071272040801	0.3192472440404015	0.1444150994066492	2928.7912047606264
8.525680541992188	0.7127936759491778	0.2461062972792398	2.110983403678296e-09	0.792041130136676	1.044111779726572	76.75751	133.8108560653442	0.2871322256766445	0.15106089054591423	3408.0888162646675
8.144546508789062	0.6933503322982586	0.24587278346689706	2.1099767047115322e-09	0.8044139069412786	1.0439184134320918	74.82654	133.85222845661113	0.30657182704895547	0.14979139895660723	3635.1267692430556
8.722915649414062	0.7012856430399795	0.24601733042632135	2.118808509791074e-09	0.804809538800274	1.0437394146184609	75.59573	133.7638282976289	0.2986381192998407	0.14952484946837807	3843.055238077494
6.8530426025390625	0.6951457691134375	0.2460943336472683	2.058130212943867e-09	0.770474831201373	1.0452218885766538	75.4287	133.09866937910195	0.30477779374490854	0.14815997931054145	3548.2676726616965
8.466018676757812	0.6917609988534784	0.24609783126456664	2.1011291842570493e-09	0.7852511731685176	1.0438900561161364	75.03347000000001	133.0347296953293	0.3081616530195857	0.1491705829685725	3364.4115118118125
8.168411254882812	0.7077411194179838	0.24612856769502947	2.0580026128263094e-09	0.8045989112481533	1.0432451012400534	75.81900999999999	134.3956926802847	0.292183898397439	0.1414270520879749	3892.944522159951
8.303878784179688	0.7043902282320219	0.24570306854709212	2.1185118973630575e-09	0.8145809688432674	1.0428808028073369	73.30167	138.6403342861388	0.29553320562579194	0.10537568359951639	3265.539033790657
