7  28163.9	2.282313e+00	1.340324e-01	6.995557e-01	3.080357e+00	9.892859e-01	5.365553e-02	1.350695e-01	1.418213e-01	-1.866947e+00	2.960963e+00	4.534986e-02	3.000890e+00	1.003951e+00	-1.910000e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	7.435822e+01	7.579499e-01	5.769667e-01	2.752686e-01	2.245129e-09	4.949699e+00	
5  26041	2.317030e+00	1.322809e-01	7.002594e-01	3.080503e+00	9.868281e-01	5.455589e-02	2.291772e-01	1.789538e-01	-1.889639e+00	2.864793e+00	1.157384e-01	2.997239e+00	1.003986e+00	-1.910000e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	7.378216e+01	7.034157e-01	5.892796e-01	2.751507e-01	2.241548e-09	5.331066e+00	
1  26042	2.317030e+00	1.322809e-01	7.002594e-01	3.080503e+00	9.868281e-01	5.455589e-02	2.291772e-01	1.789538e-01	-1.889639e+00	2.864793e+00	1.157384e-01	2.997239e+00	1.003969e+00	-1.910000e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	7.378216e+01	7.034157e-01	5.892796e-01	2.751507e-01	2.241548e-09	5.331066e+00	
1  26040.8	2.317030e+00	1.322809e-01	7.002594e-01	3.080503e+00	9.868281e-01	5.455589e-02	2.291772e-01	1.789538e-01	-1.889639e+00	2.864793e+00	1.157384e-01	2.997239e+00	1.003969e+00	-1.910023e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	7.378216e+01	7.034157e-01	5.892796e-01	2.751507e-01	2.241548e-09	5.331066e+00	
1  26040.8	2.317030e+00	1.322809e-01	7.002594e-01	3.080503e+00	9.868281e-01	5.455589e-02	2.291772e-01	1.789538e-01	-1.889639e+00	2.864793e+00	1.157384e-01	2.997239e+00	1.003969e+00	-1.910023e+01	2.875476e+00	2.301768e+00	-4.136405e-01	1.610570e+00	-5.991341e-01	-3.095025e+00	1.999133e-01	7.378216e+01	7.034157e-01	5.892796e-01	2.751507e-01	2.241548e-09	5.331066e+00	
1  26040.8	2.317030e+00	1.322809e-01	7.002594e-01	3.080503e+00	9.868281e-01	5.455589e-02	2.291772e-01	1.789538e-01	-1.889639e+00	2.864793e+00	1.157384e-01	2.997239e+00	1.003969e+00	-1.910023e+01	2.829325e+00	3.156431e+00	-4.332843e-01	1.593761e+00	-5.930808e-01	-3.113464e+00	1.953264e-01	7.378216e+01	7.034157e-01	5.892796e-01	2.751507e-01	2.241548e-09	5.331066e+00	
1  26040.7	2.317030e+00	1.322809e-01	7.002594e-01	3.080503e+00	9.868281e-01	5.455589e-02	2.291772e-01	1.789538e-01	-1.889639e+00	2.864793e+00	1.157384e-01	2.997239e+00	1.003969e+00	-1.910023e+01	2.883047e+00	2.505729e+00	-4.374246e-01	1.604031e+00	-6.049451e-01	-3.093397e+00	1.942439e-01	7.378216e+01	7.034157e-01	5.892796e-01	2.751507e-01	2.241548e-09	5.331066e+00	
2  26040.9	2.317030e+00	1.322809e-01	7.002594e-01	3.080503e+00	9.868281e-01	5.455589e-02	2.291772e-01	1.789538e-01	-1.889639e+00	2.864793e+00	1.157384e-01	2.997239e+00	1.003969e+00	-1.910023e+01	2.849331e+00	1.583006e+00	-4.586218e-01	1.608961e+00	-5.984483e-01	-3.125893e+00	1.948069e-01	7.378216e+01	7.034157e-01	5.892796e-01	2.751507e-01	2.241548e-09	5.331066e+00	
1  26040.9	2.317030e+00	1.322809e-01	7.002594e-01	3.080503e+00	9.868281e-01	5.455589e-02	2.291772e-01	1.789538e-01	-1.889639e+00	2.864793e+00	1.157384e-01	2.997239e+00	1.003969e+00	-1.910023e+01	2.872501e+00	1.475102e+00	-4.583512e-01	1.598679e+00	-6.014846e-01	-3.126823e+00	1.992582e-01	7.378216e+01	7.034157e-01	5.892796e-01	2.751507e-01	2.241548e-09	5.331066e+00	
2  26040.8	2.317030e+00	1.322809e-01	7.002594e-01	3.080503e+00	9.868281e-01	5.455589e-02	2.291772e-01	1.789538e-01	-1.889639e+00	2.864793e+00	1.157384e-01	2.997239e+00	1.003969e+00	-1.910023e+01	2.895810e+00	1.401736e+00	-4.621135e-01	1.621129e+00	-5.941541e-01	-3.103619e+00	1.828659e-01	7.378216e+01	7.034157e-01	5.892796e-01	2.751507e-01	2.241548e-09	5.331066e+00	
2  23466.4	2.330211e+00	1.298953e-01	6.988703e-01	3.088120e+00	9.917437e-01	5.929396e-02	1.157268e-01	3.134460e-01	-1.945482e+00	3.013914e+00	2.826095e-01	3.004785e+00	1.005740e+00	-1.910023e+01	2.895810e+00	1.401736e+00	-4.621135e-01	1.621129e+00	-5.941541e-01	-3.103619e+00	1.828659e-01	7.290036e+01	5.756402e-01	5.950394e-01	2.774290e-01	2.270838e-09	6.424683e+00	
