2  20859	2.290300e+00	1.326385e-01	1.040372e+00	3.060995e+00	9.933746e-01	5.187142e-02	8.751968e-02	1.458411e-01	-1.860942e+00	2.841892e+00	9.983186e-01	-1.910000e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	5.704884e+01	8.375373e-01	5.308785e-01	2.425312e-01	2.160859e-09	7.556903e+00	
6  20290.8	2.302914e+00	1.324457e-01	1.040536e+00	3.044818e+00	9.927355e-01	4.506722e-02	1.020959e-01	6.187236e-02	-1.807784e+00	2.827576e+00	9.969548e-01	-1.910000e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	5.899907e+01	8.867081e-01	5.669788e-01	2.424454e-01	2.125695e-09	6.730031e+00	
2  19470.2	2.309512e+00	1.313546e-01	1.040482e+00	3.043472e+00	9.949804e-01	4.700213e-02	1.150286e-01	6.842197e-02	-1.791997e+00	3.042054e+00	9.958068e-01	-1.910000e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	6.199118e+01	8.684061e-01	6.033719e-01	2.456182e-01	2.118884e-09	6.952984e+00	
3  19442.4	2.309512e+00	1.313546e-01	1.040482e+00	3.043472e+00	9.949804e-01	4.700213e-02	1.150286e-01	6.842197e-02	-1.791997e+00	3.042054e+00	9.969804e-01	-1.910000e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	6.199118e+01	8.684061e-01	6.033719e-01	2.456182e-01	2.118884e-09	6.952984e+00	
1  19442.6	2.309512e+00	1.313546e-01	1.040482e+00	3.043472e+00	9.949804e-01	4.700213e-02	1.150286e-01	6.842197e-02	-1.791997e+00	3.042054e+00	9.969804e-01	-1.910000e+01	2.996247e+00	7.215473e-01	-4.195841e-01	1.587154e+00	-5.979258e-01	-3.081297e+00	2.017525e-01	6.199118e+01	8.684061e-01	6.033719e-01	2.456182e-01	2.118884e-09	6.952984e+00	
2  19442.9	2.309512e+00	1.313546e-01	1.040482e+00	3.043472e+00	9.949804e-01	4.700213e-02	1.150286e-01	6.842197e-02	-1.791997e+00	3.042054e+00	9.969804e-01	-1.910000e+01	2.943532e+00	2.742688e-01	-4.171240e-01	1.562258e+00	-5.976700e-01	-3.113506e+00	1.926926e-01	6.199118e+01	8.684061e-01	6.033719e-01	2.456182e-01	2.118884e-09	6.952984e+00	
1  19442.6	2.309512e+00	1.313546e-01	1.040482e+00	3.043472e+00	9.949804e-01	4.700213e-02	1.150286e-01	6.842197e-02	-1.791997e+00	3.042054e+00	9.969804e-01	-1.910000e+01	2.989516e+00	6.872004e-01	-4.047659e-01	1.561795e+00	-6.005220e-01	-3.116093e+00	2.032869e-01	6.199118e+01	8.684061e-01	6.033719e-01	2.456182e-01	2.118884e-09	6.952984e+00	
1  19442.9	2.309512e+00	1.313546e-01	1.040482e+00	3.043472e+00	9.949804e-01	4.700213e-02	1.150286e-01	6.842197e-02	-1.791997e+00	3.042054e+00	9.969804e-01	-1.910000e+01	2.907580e+00	5.839962e-01	-4.014216e-01	1.600535e+00	-6.050268e-01	-3.121738e+00	2.171459e-01	6.199118e+01	8.684061e-01	6.033719e-01	2.456182e-01	2.118884e-09	6.952984e+00	
9  19442.7	2.309512e+00	1.313546e-01	1.040482e+00	3.043472e+00	9.949804e-01	4.700213e-02	1.150286e-01	6.842197e-02	-1.791997e+00	3.042054e+00	9.969804e-01	-1.910000e+01	2.875752e+00	8.886971e-01	-4.112209e-01	1.595140e+00	-6.083242e-01	-3.147948e+00	2.050726e-01	6.199118e+01	8.684061e-01	6.033719e-01	2.456182e-01	2.118884e-09	6.952984e+00	
1  19422.9	2.312148e+00	1.303179e-01	1.040797e+00	3.043200e+00	9.939528e-01	4.836430e-02	2.052057e-01	3.750974e-02	-1.930838e+00	2.922149e+00	9.964725e-01	-1.910000e+01	2.875752e+00	8.886971e-01	-4.112209e-01	1.595140e+00	-6.083242e-01	-3.147948e+00	2.050726e-01	6.182290e+01	8.907862e-01	6.064879e-01	2.440132e-01	2.116248e-09	7.043298e+00	
