# omega_b	omega_cdm	h	ln10^{10}A_s	n_s	tau_reio	delta_Neff_drmd	f_idm_drmd	log10z_stop
0.022952931	0.1205972	0.7364177	3.069298	0.9944736	0.08468021	0.4412671	0.9194429	4.322845
0.0229143	0.1210833	0.7356788	3.066678	0.9919935	0.07918604	0.5329387	0.9388511	4.333625
0.023056008	0.1214386	0.7480959	3.056372	0.9961644	0.07450409	0.5465674	0.9156851	4.227974
0.022938818	0.1233098	0.7487329	3.081175	0.9933481	0.08462776	0.6291293	0.8321748	4.194179
0.02316148	0.1217763	0.7582806	3.089427	0.9956078	0.08900688	0.6712476	0.8312459	4.127163
0.023344317	0.1201726	0.761595	3.070564	0.9969414	0.08427313	0.6461748	0.8049282	4.094956
0.023286399	0.1221774	0.7557558	3.059789	0.9939391	0.07779831	0.6591492	0.8024481	4.049949
0.02320204	0.1233572	0.7565075	3.040023	0.9918255	0.06753031	0.7034994	0.8103844	4.009315
0.02318345	0.1239749	0.7620844	3.032358	0.9865229	0.06360472	0.7718064	0.8054176	4.009169
0.023215229	0.1245122	0.7623673	3.01802	0.9826977	0.05460694	0.7360345	0.7862328	4.04486
0.023354508	0.1212015	0.7713644	3.047468	0.9901506	0.07461682	0.7163303	0.8023274	4.107605
0.02339312	0.1205932	0.7642688	3.039929	0.9899607	0.07277409	0.6547001	0.7825588	4.057952
0.02349456	0.1192487	0.7654076	3.041588	0.9920991	0.07671339	0.6469179	0.7886919	4.052285
0.02347683	0.1194301	0.7667483	3.047443	0.9888228	0.07819553	0.6531307	0.7805348	4.133742
0.02332448	0.1207864	0.7632935	3.052968	0.9881563	0.0807862	0.6213094	0.7766601	4.141984
0.02351844	0.1198557	0.7670244	3.051887	0.9873337	0.08213176	0.6174112	0.7903892	4.052077
0.02357529	0.1205674	0.7509506	3.064591	0.9923149	0.08450098	0.5553078	0.8151288	4.083409
0.02332102	0.1212626	0.7444998	3.089877	0.9807632	0.09260806	0.5653524	0.7822001	4.251474
0.023369629	0.1214822	0.7375629	3.100343	0.9788192	0.09779239	0.4726691	0.7876658	4.280313
0.02321155	0.1225435	0.7244327	3.102552	0.9796247	0.1009298	0.4314562	0.7692187	4.21614
0.0232322	0.1237109	0.7300153	3.101301	0.9784289	0.09846095	0.4970352	0.7539115	4.282061
0.02316262	0.1253384	0.7249322	3.084532	0.9746001	0.09206132	0.5435585	0.742168	4.291497
0.02248917	0.1230506	0.7188559	3.059177	0.9711064	0.09013058	0.4456746	0.4288464	2.610503
0.023454549	0.1259118	0.7475957	3.089753	0.9855769	0.1008548	0.7258773	0.5264715	2.090599
0.023445139	0.1265875	0.7448531	3.085114	0.9801196	0.1044024	0.7415484	0.4163187	2.217573
0.02381232	0.1287978	0.7800506	3.056243	0.9916676	0.09419776	1.058232	0.2990009	2.077528
0.02369967	0.1235454	0.7700788	3.045044	0.9931435	0.08764654	0.7867445	0.04836064	2.180556
0.02365551	0.1229891	0.759382	3.041379	0.9808707	0.07054037	0.6300522	0.3696986	2.020434
0.02365066	0.1251524	0.7544732	3.053614	0.9713249	0.07687154	0.6703692	0.4090693	2.821356
0.023912448	0.1291143	0.819811	3.000674	0.9958921	0.06317252	1.322429	0.4045546	4.594225
0.023285309	0.1332799	0.7777508	3.000467	0.9850031	0.06257357	1.167619	0.3978563	4.517827
0.02336332	0.1309232	0.7775889	2.989942	0.9916788	0.05834735	1.115264	0.3977256	4.475382
0.02318414	0.1313351	0.7527374	3.053666	0.971775	0.08031414	0.9343649	0.4195054	4.0907
0.02297731	0.1248547	0.7358005	3.081772	0.9823738	0.08736171	0.5860265	0.262945	3.526958
0.023515338	0.1187246	0.7321809	3.095237	0.990311	0.09562281	0.3227788	0.4053284	4.245817
0.022684628	0.1240129	0.7188843	3.048546	0.9834451	0.07385211	0.4519742	0.4157252	3.776843
0.023070011	0.1239601	0.7264021	3.07093	0.9846121	0.08832485	0.5008054	0.2148795	3.151667
0.0232933	0.122875	0.7293592	3.069072	0.9802369	0.08941108	0.4730648	0.3376922	3.823106
0.022803148	0.1178724	0.6961917	3.024818	0.9740157	0.06285192	0.03663473	0.5246135	3.635598
0.02289841	0.1229705	0.6968588	3.011672	0.9728943	0.05717752	0.2190978	0.5276961	3.71464
0.02340186	0.1206028	0.7365535	3.033206	0.9849037	0.07305692	0.4260872	0.4391562	3.515494
0.02311029	0.1184455	0.7264346	3.020955	0.9815879	0.06459087	0.2960219	0.874619	2.56688
0.023082908	0.1168686	0.7179051	3.084003	0.9844364	0.0895324	0.1934273	0.8367628	3.051793
0.02277493	0.1151547	0.7238427	3.076486	0.986566	0.08928639	0.1990343	0.5776808	2.853961
0.023791028	0.117201	0.737801	3.081249	0.9837198	0.08626029	0.307761	0.9824468	2.821683
0.02303379	0.1182504	0.7254681	3.034991	0.9865809	0.07036282	0.2913799	0.4526473	2.516434
0.02367531	0.1260105	0.7715154	3.053982	0.9949168	0.08209253	0.874261	0.4136862	2.671479
0.023378028	0.125724	0.7423664	3.044001	0.975025	0.07360259	0.6564022	0.2962684	2.92737
0.022915129	0.1254182	0.7153069	3.053036	0.9697572	0.06700668	0.4348307	0.1905318	3.165165
0.02300337	0.1235892	0.7138161	3.075141	0.9704355	0.0820137	0.3630365	0.1222265	2.239474
0.02360269	0.1239163	0.7271173	3.069704	0.9757636	0.08330278	0.4439441	0.4552685	3.109884
0.02338051	0.1238879	0.7388018	3.029812	0.9829234	0.06803905	0.5544358	0.5089403	3.904484
0.02304167	0.1169414	0.7222728	3.061462	0.9868034	0.08004873	0.2208419	0.715098	2.958961
0.02295129	0.1245107	0.7274221	3.040761	0.9774838	0.06880261	0.4853163	0.6662046	2.438939
0.022886591	0.12535	0.7155327	3.0328	0.9634002	0.06621394	0.42962	0.7293174	3.437994
0.023266649	0.1203475	0.7192963	3.089273	0.9727349	0.08449738	0.2918761	0.6965129	4.422725
0.02333678	0.1275101	0.7274896	3.046951	0.9678196	0.05731307	0.5489487	0.8589432	4.269153
0.02378401	0.1211381	0.7396401	3.063138	0.9826181	0.07209056	0.4533477	0.4528071	3.381805
0.023526128	0.1182482	0.7353838	3.059089	0.9817431	0.06764377	0.3083486	0.5707117	3.609429
0.0235727	0.1229751	0.7788845	3.077768	1.001886	0.08642776	0.8224859	0.8365443	3.738573
0.023389589	0.123734	0.7445171	3.065302	0.9975112	0.08004891	0.5679987	0.7209462	4.138016
0.023024188	0.1224241	0.716294	3.084916	0.9860226	0.08287923	0.3311942	0.8033827	3.692124
0.02291079	0.1243656	0.714917	3.07803	0.9796459	0.07948333	0.3744456	0.7473787	2.503966
0.0231143	0.12491	0.7259296	3.084298	0.9824305	0.08888031	0.4727443	0.8250131	2.535217
0.02337892	0.1189139	0.7545778	3.052008	0.9983547	0.08046404	0.5126278	0.5108575	3.469676
0.02354808	0.1194614	0.7366255	3.087355	0.9868518	0.09693785	0.3708926	0.3094704	3.240564
0.023128519	0.1109667	0.7213637	3.094795	1.000058	0.1019712	0.02075725	0.1858615	4.466104
0.02294956	0.1179855	0.7143616	3.152547	0.9816271	0.1287764	0.2102067	0.2311915	4.768321
0.02277573	0.1184255	0.7203814	3.117789	0.9750714	0.1059678	0.2579687	0.5126951	4.219113
0.02277573	0.1184255	0.7203814	3.117789	0.9750714	0.1059678	0.2579687	0.5126951	4.219113
0.02299992	0.1179539	0.704898	3.096053	0.9793923	0.08598825	0.1059954	0.7165977	4.297201
0.02355472	0.1189637	0.72753	3.063395	0.9881885	0.08257136	0.2795834	0.8415156	3.673431
0.023390118	0.1210074	0.7405831	3.034215	0.9881878	0.07021676	0.4817139	0.6142806	3.955218
0.02349282	0.1159465	0.746595	3.035055	0.9873244	0.06817555	0.3528819	0.3000517	3.739647
0.02300231	0.1184964	0.7124643	3.042619	0.9752862	0.07075928	0.1804181	0.09555521	3.882174
0.0230392	0.1183607	0.7128158	3.041159	0.973961	0.07120924	0.188726	0.02052947	4.255038
0.0233711	0.1249694	0.7649883	3.009391	0.9830073	0.05596659	0.8040146	0.3712788	4.481612
0.02315035	0.1225913	0.737669	3.020535	0.9830102	0.05547357	0.4855096	0.2140625	3.098105
0.0236312	0.1247873	0.7226395	3.098916	0.9755438	0.08921067	0.4192118	0.5720913	3.689152
0.023275329	0.1238094	0.7204177	3.08098	0.9724987	0.08412089	0.3910331	0.6090371	4.896622
0.02287143	0.1208307	0.7190597	3.033416	0.9792801	0.06472925	0.3616193	0.8890025	4.126223
0.0228897	0.1229341	0.7091413	3.070916	0.9802634	0.07989436	0.352119	0.8961943	4.368619
0.02289549	0.1194266	0.6918599	3.043923	0.9796577	0.06651743	0.03602293	0.9314332	3.673398
