# omega_b	omega_cdm	100*theta_s	ln10^{10}A_s	n_s	tau_reio	r	m_ncdm_interacting	log10_G_eff_ur	deg_ncdm_interacting
0.022123874891258413	0.1152600393720143	1.0389122706172575	3.125195132053527	0.9712763843532207	0.07797725606890642	0.029054452228344643	0.2037319248713742	-3.378149539758071	4.040719941893416
0.022403826396434977	0.11352722342714923	1.039253284912816	3.0998488267780817	0.9789636737916944	0.07604331773002804	0.08205789868494738	0.5003337633973829	-4.608230145134682	2.4683619084236463
0.021633192462049897	0.11755526869496974	1.038569622420398	3.0862675437755906	0.9670501774261092	0.052807079945336635	0.2487069886747793	0.2592124489512098	-1.632174812599571	2.52637666913391
0.022002109329886662	0.11941175243174751	1.0397316130642578	3.0726494232623733	0.9650002073126287	0.04053246607504641	0.26552454406247983	0.9758209207962685	-1.593317184574112	4.529674719303167
0.021907448609635036	0.11569149509812045	1.039085560723829	3.065882396807065	0.9749691390454512	0.03908551636289186	0.11207378343106958	0.7279329155359455	-2.3755295606779114	3.9165425977266235
0.02259436871240676	0.11291591972873892	1.0407932820503403	3.1722282144149805	0.972569855907137	0.08793601663093374	0.13217122883525997	0.6210721830761853	-2.982149499908768	4.5612944605554
0.022873466434797575	0.1124008277644643	1.0411329173278008	3.1282359339643246	0.9834041708717676	0.06817796907984455	0.20617656363868042	0.24314008155817846	-1.0426940935095406	4.182383056546965
0.021788916420891074	0.11467931218270488	1.0401482068975076	3.096475882832912	0.9718188853697971	0.06437122309031107	0.13025654677892437	0.8767889292995438	-1.9900363653565933	3.9264583839882063
0.02234440890822314	0.1239049460017194	1.039927536174508	3.1276492001480745	0.9565647061714597	0.04999598522091606	0.1410667622914187	0.1894288595579705	-3.671050988116808	4.215072508299777
0.021443783408742544	0.1226940952141573	1.0394683163149743	3.0610148665069756	0.9381416816030714	0.03542824110230734	0.1427461026192169	0.3384332964147935	-4.946535526820554	4.383764913601522
0.022353696777222397	0.111210763828758	1.0417569350616342	3.073059600830273	0.9978824326273004	0.05567743388283995	0.11939043346037853	0.6745950368022315	-3.5606634882974433	2.941810333744164
0.022630169022559272	0.11376507558472983	1.0415991801566984	3.1583112759029186	0.9711852484592411	0.0842031409251793	0.04039535739788097	0.9105075204828915	-2.5823894951657604	3.929393980847087
0.021298175125118828	0.12359196121073783	1.0394203038131078	3.066157184320171	0.9658578270116082	0.04757869062387551	0.029298472083815016	0.5633323655222703	-3.622940607833727	2.712523100007896
0.021370911799965447	0.12781363734180912	1.0402588497741037	3.1431737473198025	0.9450649632518262	0.059895217578808585	0.2245528140611094	0.5047874642835029	-5.107904116683617	3.7419910941567704
0.022051528743254577	0.1120639361179895	1.0409991283294955	3.153308878485058	0.9784242844899356	0.08943018500772332	0.2468626259386673	0.8754493707146038	-3.5241388100192754	4.285064346465442
0.022020532297576945	0.12232707132282346	1.040468504455967	3.1465306484364692	0.9815080524343938	0.0736022057295895	0.19810000766210561	0.9174801685379019	-3.4085514917657966	3.2879574547061368
