1  100105	2.265744e+00	1.328751e-01	6.996421e-01	3.083093e+00	9.921247e-01	6.009662e-02	1.934419e-01	1.769372e-02	-2.063310e+00	3.002442e+00	3.205583e-02	3.291738e+00	1.001229e+00	-1.910000e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	7.765893e+01	7.614634e-01	6.583263e-01	2.725836e-01	2.094126e-09	3.643599e+00	
3  76782	2.264232e+00	1.330504e-01	6.960798e-01	3.065004e+00	9.905706e-01	4.694690e-02	2.389947e-01	6.474442e-02	-2.174050e+00	2.915481e+00	1.506536e-01	2.931720e+00	1.004700e+00	-1.910000e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	7.445885e+01	7.065323e-01	6.636643e-01	2.713599e-01	2.083022e-09	4.177425e+00	
3  72174.3	2.257318e+00	1.345444e-01	6.936847e-01	3.058110e+00	9.811177e-01	4.061809e-02	2.406592e-01	5.569397e-02	-2.408046e+00	2.924004e+00	2.127778e-01	2.895898e+00	1.005116e+00	-1.910000e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	7.398862e+01	6.906652e-01	6.577803e-01	2.717648e-01	2.072340e-09	3.890852e+00	
4  66776.4	2.251132e+00	1.344707e-01	6.962078e-01	3.065928e+00	9.821881e-01	4.733889e-02	1.821991e-01	7.351992e-02	-2.376814e+00	3.019406e+00	2.403090e-01	2.636091e+00	1.002877e+00	-1.910000e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	7.329765e+01	6.856596e-01	6.612003e-01	2.712246e-01	2.093961e-09	5.350053e+00	
2  65449.2	2.246492e+00	1.346372e-01	6.924253e-01	3.057226e+00	9.813582e-01	4.086525e-02	2.267587e-01	7.736014e-02	-2.342168e+00	3.125412e+00	3.089647e-01	2.515739e+00	1.004685e+00	-1.910000e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	7.265681e+01	6.691013e-01	6.547645e-01	2.712314e-01	2.078679e-09	4.804682e+00	
2  65232.6	2.246492e+00	1.346372e-01	6.924253e-01	3.057226e+00	9.813582e-01	4.086525e-02	2.267587e-01	7.736014e-02	-2.342168e+00	3.125412e+00	3.089647e-01	2.515739e+00	1.004685e+00	-1.911756e+01	3.000000e+00	1.000000e+00	-4.200000e-01	1.590000e+00	-6.000000e-01	-3.100000e+00	2.000000e-01	7.265681e+01	6.691013e-01	6.547645e-01	2.712314e-01	2.078679e-09	4.804682e+00	
1  65232.2	2.246492e+00	1.346372e-01	6.924253e-01	3.057226e+00	9.813582e-01	4.086525e-02	2.267587e-01	7.736014e-02	-2.342168e+00	3.125412e+00	3.089647e-01	2.515739e+00	1.004685e+00	-1.911756e+01	3.047655e+00	1.413341e+00	-4.267572e-01	1.612091e+00	-6.037920e-01	-3.076276e+00	2.135809e-01	7.265681e+01	6.691013e-01	6.547645e-01	2.712314e-01	2.078679e-09	4.804682e+00	
1  65232.8	2.246492e+00	1.346372e-01	6.924253e-01	3.057226e+00	9.813582e-01	4.086525e-02	2.267587e-01	7.736014e-02	-2.342168e+00	3.125412e+00	3.089647e-01	2.515739e+00	1.004685e+00	-1.911756e+01	3.164308e+00	3.845230e-01	-4.179312e-01	1.574819e+00	-5.866820e-01	-3.080319e+00	2.197297e-01	7.265681e+01	6.691013e-01	6.547645e-01	2.712314e-01	2.078679e-09	4.804682e+00	
3  65232.8	2.246492e+00	1.346372e-01	6.924253e-01	3.057226e+00	9.813582e-01	4.086525e-02	2.267587e-01	7.736014e-02	-2.342168e+00	3.125412e+00	3.089647e-01	2.515739e+00	1.004685e+00	-1.911756e+01	3.251487e+00	8.724509e-04	-4.229647e-01	1.569787e+00	-5.865714e-01	-3.074334e+00	2.194058e-01	7.265681e+01	6.691013e-01	6.547645e-01	2.712314e-01	2.078679e-09	4.804682e+00	
3  65231.2	2.246492e+00	1.346372e-01	6.924253e-01	3.057226e+00	9.813582e-01	4.086525e-02	2.267587e-01	7.736014e-02	-2.342168e+00	3.125412e+00	3.089647e-01	2.515739e+00	1.004685e+00	-1.911756e+01	3.294789e+00	1.200156e+00	-4.162547e-01	1.570989e+00	-5.733514e-01	-3.081546e+00	2.193494e-01	7.265681e+01	6.691013e-01	6.547645e-01	2.712314e-01	2.078679e-09	4.804682e+00	
2  62539.6	2.249488e+00	1.342025e-01	6.943131e-01	3.062566e+00	9.860032e-01	4.492812e-02	2.497223e-01	6.899360e-02	-2.339573e+00	3.102310e+00	3.751194e-01	2.465721e+00	1.004191e+00	-1.911756e+01	3.294789e+00	1.200156e+00	-4.162547e-01	1.570989e+00	-5.733514e-01	-3.081546e+00	2.193494e-01	7.235542e+01	6.575856e-01	6.565343e-01	2.711300e-01	2.095641e-09	5.686007e+00	
11  61717	2.244057e+00	1.349845e-01	6.990776e-01	3.060145e+00	9.838519e-01	4.241268e-02	1.139938e-01	6.474789e-02	-2.244468e+00	3.167343e+00	4.540012e-01	2.561377e+00	1.004502e+00	-1.911756e+01	3.294789e+00	1.200156e+00	-4.162547e-01	1.570989e+00	-5.733514e-01	-3.081546e+00	2.193494e-01	7.267305e+01	6.375148e-01	6.534235e-01	2.723896e-01	2.083250e-09	5.442239e+00	
1  61716.8	2.244057e+00	1.349845e-01	6.990776e-01	3.060145e+00	9.838519e-01	4.241268e-02	1.139938e-01	6.474789e-02	-2.244468e+00	3.167343e+00	4.540012e-01	2.561377e+00	1.004502e+00	-1.911756e+01	3.347601e+00	1.160365e+00	-4.144185e-01	1.563823e+00	-5.562030e-01	-3.078471e+00	2.146386e-01	7.267305e+01	6.375148e-01	6.534235e-01	2.723896e-01	2.083250e-09	5.442239e+00	
1  61715.4	2.244057e+00	1.349845e-01	6.990776e-01	3.060145e+00	9.838519e-01	4.241268e-02	1.139938e-01	6.474789e-02	-2.244468e+00	3.167343e+00	4.540012e-01	2.561377e+00	1.004502e+00	-1.911756e+01	3.542884e+00	2.709210e+00	-4.277634e-01	1.540318e+00	-5.547918e-01	-3.054050e+00	2.033046e-01	7.267305e+01	6.375148e-01	6.534235e-01	2.723896e-01	2.083250e-09	5.442239e+00	
2  61715.6	2.244057e+00	1.349845e-01	6.990776e-01	3.060145e+00	9.838519e-01	4.241268e-02	1.139938e-01	6.474789e-02	-2.244468e+00	3.167343e+00	4.540012e-01	2.561377e+00	1.004502e+00	-1.911756e+01	3.501568e+00	1.905845e+00	-4.249360e-01	1.533784e+00	-5.624813e-01	-3.070378e+00	2.028700e-01	7.267305e+01	6.375148e-01	6.534235e-01	2.723896e-01	2.083250e-09	5.442239e+00	
1  61715.5	2.244057e+00	1.349845e-01	6.990776e-01	3.060145e+00	9.838519e-01	4.241268e-02	1.139938e-01	6.474789e-02	-2.244468e+00	3.167343e+00	4.540012e-01	2.561377e+00	1.004502e+00	-1.911756e+01	3.525217e+00	2.589014e+00	-4.287081e-01	1.544295e+00	-5.636065e-01	-3.095453e+00	2.079441e-01	7.267305e+01	6.375148e-01	6.534235e-01	2.723896e-01	2.083250e-09	5.442239e+00	
12  61716.2	2.244057e+00	1.349845e-01	6.990776e-01	3.060145e+00	9.838519e-01	4.241268e-02	1.139938e-01	6.474789e-02	-2.244468e+00	3.167343e+00	4.540012e-01	2.561377e+00	1.004502e+00	-1.911756e+01	3.374029e+00	3.380926e+00	-4.236527e-01	1.540078e+00	-5.589549e-01	-3.102531e+00	2.089532e-01	7.267305e+01	6.375148e-01	6.534235e-01	2.723896e-01	2.083250e-09	5.442239e+00	
4  60176.5	2.246212e+00	1.355790e-01	6.999645e-01	3.072758e+00	9.814831e-01	4.809284e-02	2.191349e-01	1.000509e-01	-2.289081e+00	3.267014e+00	5.114363e-01	2.551908e+00	1.004170e+00	-1.911756e+01	3.374029e+00	3.380926e+00	-4.236527e-01	1.540078e+00	-5.589549e-01	-3.102531e+00	2.089532e-01	7.279909e+01	6.152712e-01	6.463616e-01	2.733864e-01	2.108936e-09	6.474129e+00	
1  60176.6	2.246212e+00	1.355790e-01	6.999645e-01	3.072758e+00	9.814831e-01	4.809284e-02	2.191349e-01	1.000509e-01	-2.289081e+00	3.267014e+00	5.114363e-01	2.551908e+00	1.004170e+00	-1.911756e+01	3.478076e+00	4.599406e+00	-4.195175e-01	1.539886e+00	-5.537070e-01	-3.092572e+00	2.105803e-01	7.279909e+01	6.152712e-01	6.463616e-01	2.733864e-01	2.108936e-09	6.474129e+00	
1  60177.7	2.246212e+00	1.355790e-01	6.999645e-01	3.072758e+00	9.814831e-01	4.809284e-02	2.191349e-01	1.000509e-01	-2.289081e+00	3.267014e+00	5.114363e-01	2.551908e+00	1.004170e+00	-1.911756e+01	3.456717e+00	5.726305e+00	-4.029393e-01	1.526626e+00	-5.508363e-01	-3.108866e+00	2.192601e-01	7.279909e+01	6.152712e-01	6.463616e-01	2.733864e-01	2.108936e-09	6.474129e+00	
1  60177	2.246212e+00	1.355790e-01	6.999645e-01	3.072758e+00	9.814831e-01	4.809284e-02	2.191349e-01	1.000509e-01	-2.289081e+00	3.267014e+00	5.114363e-01	2.551908e+00	1.004170e+00	-1.911756e+01	3.519959e+00	5.302206e+00	-3.957481e-01	1.499352e+00	-5.342867e-01	-3.103103e+00	2.069410e-01	7.279909e+01	6.152712e-01	6.463616e-01	2.733864e-01	2.108936e-09	6.474129e+00	
1  60176.5	2.246212e+00	1.355790e-01	6.999645e-01	3.072758e+00	9.814831e-01	4.809284e-02	2.191349e-01	1.000509e-01	-2.289081e+00	3.267014e+00	5.114363e-01	2.551908e+00	1.004170e+00	-1.911756e+01	3.522267e+00	4.654663e+00	-3.862219e-01	1.478043e+00	-5.372438e-01	-3.123341e+00	1.889672e-01	7.279909e+01	6.152712e-01	6.463616e-01	2.733864e-01	2.108936e-09	6.474129e+00	
