# omega_b	omega_cdm	H0	ln10^{10}A_s	n_s	tau_reio
0.02244636	0.1146795	69.49884	3.034261	0.9806288	0.05726606
0.022035059	0.1163193	68.35921	3.045875	0.9802774	0.05827306
0.0219697	0.1172611	67.97743	3.077331	0.9787931	0.07124111
0.02206399	0.1176189	67.69021	3.086253	0.9726478	0.06841751
0.022144899	0.1182184	67.54255	3.08485	0.9695028	0.0659094
0.02210638	0.1153359	68.65826	3.068969	0.9737957	0.06612366
0.02209086	0.1162898	68.2892	3.077002	0.9683803	0.06954436
0.02174254	0.120246	66.46947	3.09861	0.9572877	0.07261812
0.021924369	0.1195381	67.44403	3.099565	0.9666616	0.08279118
0.02181833	0.1197753	67.30835	3.056083	0.9713399	0.06241277
0.02183394	0.1177298	68.13321	3.041361	0.977935	0.06078236
0.02192797	0.1179904	68.00975	3.030392	0.976017	0.05993009
0.022139128	0.1171101	68.66622	3.018399	0.9758419	0.04786812
0.02238467	0.1189111	68.14056	3.020084	0.9719175	0.04686249
0.0223853	0.1192061	68.02372	3.05949	0.9613862	0.06484584
0.022338318	0.1197098	67.71449	3.056868	0.9628431	0.06455159
0.02229351	0.1205928	67.26084	3.089756	0.9509164	0.0780535
0.02251018	0.1171098	68.83445	3.105612	0.9670847	0.07801235
0.021953968	0.1173676	68.00578	3.078426	0.9611439	0.06534364
0.021804608	0.1180243	67.53554	3.04562	0.9635453	0.05840112
0.022170259	0.1186722	67.69277	3.027307	0.9697499	0.04771729
0.0222264	0.1192944	67.40751	3.045238	0.9718075	0.0552159
0.02226159	0.1164129	68.63819	3.070311	0.9735317	0.06869549
0.02266798	0.1170144	68.80969	3.027048	0.9692866	0.04393122
0.02260478	0.1187042	68.06878	3.015213	0.9648399	0.03812726
0.02300986	0.1159873	69.40229	3.117273	0.9844152	0.1024496
0.0230953	0.116529	69.17894	3.098541	0.9766183	0.09090497
0.02303633	0.1184372	68.4279	3.107453	0.9688592	0.08846995
0.02318181	0.1179109	68.97125	3.082858	0.9760384	0.07681622
0.0229057	0.1173139	68.88833	3.070066	0.9769075	0.07753072
0.0228639	0.1183201	68.38867	3.057525	0.9696719	0.0708887
0.02270783	0.12005	67.56934	3.052043	0.9711695	0.06702426
0.02262145	0.1196872	67.70241	3.051183	0.9683535	0.06793085
0.02230617	0.1168102	68.63848	3.015725	0.97259	0.04769829
0.02203041	0.1161694	68.46301	3.064078	0.9803443	0.06775156
0.02217668	0.1162863	68.51352	3.075864	0.9798563	0.067779
0.022429999	0.1160482	68.61753	3.085148	0.9748471	0.06749214
0.0220894	0.1192281	67.15066	3.073295	0.9622509	0.05879317
0.02209086	0.1162898	68.2892	3.077002	0.9683803	0.06954436
0.02195545	0.1168855	67.91817	3.097	0.9673273	0.07924811
0.02174254	0.120246	66.46947	3.09861	0.9572877	0.07261812
0.02197922	0.1190094	67.72019	3.077679	0.97122	0.0718073
0.02181833	0.1197753	67.30835	3.056083	0.9713399	0.06241277
0.02183394	0.1177298	68.13321	3.041361	0.977935	0.06078236
0.02209352	0.1177709	68.30586	3.027065	0.9781052	0.05384398
0.022101559	0.1201688	67.29504	3.014815	0.9690029	0.04047143
0.02256166	0.1177447	68.69426	3.053359	0.9713119	0.0629764
0.02265243	0.1169258	69.03981	3.046194	0.9720767	0.0620437
0.02247407	0.1189286	68.11885	3.078566	0.9636741	0.0752641
0.02253067	0.117327	68.70096	3.104324	0.9653721	0.07601357
0.022447169	0.116194	68.99189	3.107655	0.9659193	0.08203875
0.02238966	0.1160086	68.8761	3.107081	0.9640291	0.08241866
0.02180609	0.1192171	67.20508	3.025718	0.9624535	0.04564241
0.0220255	0.1185887	67.72201	3.022868	0.9670575	0.0451719
0.022192499	0.1188112	67.54898	3.071081	0.9700009	0.06473203
0.02234884	0.1164606	68.56344	3.05871	0.9700694	0.05765369
0.022752918	0.1169023	68.9549	3.019306	0.9686518	0.03992462
0.02261179	0.1188001	68.04171	3.03955	0.9667107	0.04958669
0.02313664	0.1154139	69.72866	3.106594	0.9831368	0.09786336
0.02315885	0.116009	69.44212	3.106922	0.9799474	0.09713418
0.023012659	0.1197039	67.99838	3.103838	0.9694797	0.08345456
0.02305396	0.1176049	68.81344	3.075102	0.9756059	0.07488182
0.02293723	0.1186656	68.34197	3.078902	0.9726435	0.07733856
0.022707738	0.1195974	67.74751	3.076114	0.96929	0.07942864
0.02270783	0.12005	67.56934	3.052043	0.9711695	0.06702426
0.02266734	0.1192557	67.94565	3.073711	0.9686732	0.07911049
0.02210912	0.1178131	68.08956	3.017144	0.9722717	0.04903867
0.022035059	0.1163193	68.35921	3.045875	0.9802774	0.05827306
0.022234239	0.1158036	68.63776	3.067731	0.9803008	0.06110303
0.022429999	0.1160482	68.61753	3.085148	0.9748471	0.06749214
0.0220894	0.1192281	67.15066	3.073295	0.9622509	0.05879317
0.022112468	0.1174069	67.8215	3.0755	0.9634662	0.06345691
0.02206433	0.1162422	68.2771	3.077946	0.9677797	0.07079155
0.02170252	0.119637	66.60136	3.097887	0.95986	0.0729984
0.021921959	0.1199879	66.70305	3.123332	0.9545958	0.08818287
0.02181644	0.1192177	67.57939	3.060385	0.9763835	0.06670504
0.021803018	0.1185083	67.81204	3.054583	0.9797106	0.06892127
0.021852989	0.1182045	67.91918	3.018464	0.9747968	0.05065508
0.021933729	0.1200208	67.43657	3.007452	0.9646908	0.03727524
0.022195648	0.1204692	67.3472	3.000047	0.9684294	0.03449668
