# z_reio	Omega_Lambda	YHe	A_s	sigma8	100*theta_s
7.8743133544921875	0.7146921830194239	0.24533612960797574	2.078561165533451e-09	0.7931171880663727	1.0422671465688595
8.096115112304688	0.7024711005165323	0.24515784456654208	2.1028423025430965e-09	0.8048623537031445	1.0417736074757322
9.384109497070312	0.6972230306988179	0.24513021194047974	2.170040664995301e-09	0.8208237560621824	1.041833195942689
9.098434448242188	0.6936614477961298	0.24517031966866168	2.1894883951260194e-09	0.8227657857229618	1.0411115832334379
8.849258422851562	0.6908290906839211	0.24520439117428672	2.186418696804565e-09	0.8229477947773222	1.0411007602372886
8.824691772460938	0.7069921558215615	0.24519113071972287	2.1519704418512036e-09	0.8080233869081984	1.0413955588583572
9.171432495117188	0.7018043367285194	0.2451846420493988	2.169326839047324e-09	0.81309211181931	1.0413847067280562
9.638198852539062	0.6770875092360257	0.24502836994719465	2.2167117563558842e-09	0.8334229604787736	1.0411106261967196
10.511016845703125	0.687508727609634	0.24510988742228754	2.2188297272533382e-09	0.8352190500405544	1.0428040890878043
8.624649047851562	0.6859581074290535	0.24506375389840632	2.1244180520379098e-09	0.8200701388143437	1.0429325145888817
8.422500610351562	0.6978887752471221	0.24506951570430857	2.0933714641532954e-09	0.8093259090432846	1.0431673982246015
8.317916870117188	0.6960242042560396	0.2451113477220775	2.0705347494982125e-09	0.8045080852773078	1.0428299089614956
7.0186920166015625	0.7032277857392657	0.24520230416802638	2.0458511373846857e-09	0.7961491873335378	1.0432735219501394
6.8867340087890625	0.6942236441778511	0.2453071787215515	2.0493013024989717e-09	0.800518737848946	1.0429877875875624
8.708175659179688	0.6925334245773274	0.24530747565941075	2.1316682881051612e-09	0.8141424269968612	1.0429513553892515
8.700454711914062	0.6887227546544665	0.24529007396214128	2.126086374939827e-09	0.8151876289850025	1.0426879100256252
9.994415283203125	0.6826569310684596	0.2452695323048511	2.1971716222897786e-09	0.827869817176869	1.042381379195992
9.854385375976562	0.7038941462441513	0.24536200833302815	2.232287639603317e-09	0.8267731301096767	1.042784655770718
8.829605102539062	0.6972791549726104	0.24512231273911303	2.1724181609649574e-09	0.8164558842051968	1.0420752969084834
8.193679809570312	0.6919365457202133	0.24505791090792423	2.102306146118797e-09	0.8065165105455437	1.0417748054448812
7.0158843994140625	0.6911540844205918	0.24521524666671768	2.0641569925443237e-09	0.8019007869168984	1.0419691263859405
7.7928924560546875	0.6870416575124054	0.2452423124905572	2.101503218539911e-09	0.8113026820756327	1.0416289630870543
9.050704956054688	0.704205288012342	0.24525413174592764	2.154860324861953e-09	0.812305035910417	1.0421064642950875
6.4915618896484375	0.7035492196759406	0.2454300825940833	2.063622445110136e-09	0.7941198703640666	1.0421874478110564
5.8830108642578125	0.6935498979603163	0.24540101844842502	2.0393434279468727e-09	0.7939376855967928	1.0419648028561872
11.753387451171875	0.7100127677790966	0.24557175302503445	2.2584707094627537e-09	0.8300329719602659	1.0419185118358625
10.788970947265625	0.7068268102506026	0.24560684357604842	2.2165588085214568e-09	0.821190522255804	1.0416173361835401
10.645782470703125	0.6964066265898805	0.2455850366299905	2.236401066395393e-09	0.8295394273862585	1.0415932921304423
9.581344604492188	0.7019716947523678	0.24564384365659545	2.182067685806242e-09	0.819788623966163	1.0422534183719279
9.705581665039062	0.7030936270473633	0.24552879395703592	2.154332448749827e-09	0.8137356184414218	1.0421085023961036
9.135635375976562	0.6966772736430646	0.2455113904115584	2.1274836726501984e-09	0.8098528284768693	1.041814080914571
8.847854614257812	0.6858294976957041	0.24544393223476763	2.115852716734983e-09	0.8144516096673425	1.0416219851758215
8.948928833007812	0.6880432652832094	0.24540909385820708	2.1140338656166736e-09	0.8125908108769466	1.041869024068904
6.9611358642578125	0.703269860509819	0.2452768610968333	2.0403878391284284e-09	0.7916274997973772	1.042421119744299
9.017013549804688	0.7037023385736835	0.24515614283317136	2.141470852097671e-09	0.8118609992982382	1.0419312991568703
8.983322143554688	0.7035784149987094	0.2452185670131921	2.1668595492586497e-09	0.8161988743462297	1.041822339609607
8.885055541992188	0.7044440383842749	0.2453301253625041	2.1870703466672195e-09	0.8159215835894826	1.0412000884082533
8.183853149414062	0.6850938142553762	0.24518393878430378	2.161300031335e-09	0.8196998884929002	1.0411539722778431
9.171432495117188	0.7018043367285194	0.2451846420493988	2.169326839047324e-09	0.81309211181931	1.0413847067280562
10.117950439453125	0.6975395759589545	0.24512302513959194	2.2131457218562168e-09	0.8235601413351128	1.0412852424384715
9.638198852539062	0.6770875092360257	0.24502836994719465	2.2167117563558842e-09	0.8334229604787736	1.0411106261967196
9.472549438476562	0.6910854284583358	0.24513502451107827	2.170795970562265e-09	0.8256404385951895	1.0429210822443558
