# omega_b	omega_cdm	h	ln10^{10}A_s	n_s	tau_reio	delta_Neff_drmd	f_idm_drmd	log10z_stop
0.02357482	0.1189551	0.7457474	3.065938	0.9864259	0.0725621	0.4447464	0.6895181	4.352277
0.02357482	0.1189551	0.7457474	3.065938	0.9864259	0.0725621	0.4447464	0.6895181	4.352277
0.023477111	0.1174668	0.743503	3.051169	0.9889209	0.0659483	0.4163879	0.7058245	4.433257
0.02338951	0.116837	0.7516726	3.05933	0.9877238	0.07390568	0.4200995	0.7161913	4.481853
0.02358628	0.1158923	0.7564457	3.082767	0.9927293	0.08855926	0.4630361	0.7095079	4.527132
0.02358628	0.1158923	0.7564457	3.082767	0.9927293	0.08855926	0.4630361	0.7095079	4.527132
0.023732629	0.1165864	0.7543549	3.080389	0.9907687	0.08105944	0.4424084	0.7022116	4.471454
0.023629209	0.1175385	0.7499252	3.061833	0.9898133	0.07245887	0.4121193	0.7290211	4.261321
0.02377263	0.1160277	0.7534085	3.057719	0.992079	0.0721486	0.3925719	0.7270332	4.210586
0.023754138	0.1173556	0.7525004	3.064374	0.9858838	0.07404894	0.4628648	0.6991374	4.240411
0.0236432	0.1189581	0.7538221	3.02409	0.9855679	0.05699206	0.5209696	0.6881199	4.228489
0.02365219	0.1183381	0.7454175	3.029375	0.9853621	0.06037062	0.4078347	0.6964425	4.253743
0.02340017	0.119263	0.739095	3.029556	0.982208	0.06032496	0.3970208	0.6771314	4.194637
0.023532169	0.1199458	0.7413461	3.038781	0.9780496	0.06123268	0.4045983	0.6790209	4.176477
0.02361158	0.1186323	0.7356254	3.048908	0.9865116	0.06863858	0.3377652	0.6985826	4.120931
0.02352036	0.1180967	0.7367627	3.072894	0.9917472	0.07731031	0.3768275	0.693006	4.174698
0.02344754	0.119661	0.7405706	3.084306	0.9876396	0.07951345	0.4433284	0.733671	4.076244
0.023339579	0.1186056	0.7445049	3.095597	0.9899036	0.08666935	0.4195097	0.7318901	4.084661
0.02310857	0.1197713	0.7385813	3.098391	0.9861547	0.08827932	0.5011414	0.7285273	4.096812
0.02299782	0.1202125	0.7384683	3.086734	0.9880345	0.08078077	0.5099626	0.7336449	4.064419
0.02290138	0.1204924	0.7424297	3.080818	0.9894034	0.07758325	0.5236373	0.7293649	4.058635
0.022868581	0.1204532	0.7282169	3.068681	0.9867875	0.06899738	0.3912362	0.7257799	4.168926
0.02264028	0.1218174	0.723133	3.082094	0.9810439	0.07443615	0.4290559	0.7256657	4.158788
0.022842951	0.121094	0.7294608	3.072571	0.9835614	0.07025989	0.4419322	0.7378572	4.205241
0.02276804	0.1213556	0.7216241	3.066101	0.9834876	0.06779168	0.3604912	0.7107808	4.153845
0.022872541	0.1212214	0.7300925	3.051813	0.9866655	0.06256669	0.4361809	0.711829	4.159377
0.02282882	0.1209542	0.7267522	3.058447	0.9885702	0.06568548	0.379508	0.7131201	4.168311
0.022857461	0.120821	0.7291572	3.071186	0.9897221	0.07296848	0.4445869	0.7366359	4.165872
